class,category,title,image_path,url
book,cfd,Numerical Heat Transfer And Fluid Flow,/assets/images/books/cfd/patankar_-_numerical_heat_transfer_and_fluid_flow.jpg,https://amzn.to/3yGxWHI
book,cfd,Turbulence Modeling For Cfd,/assets/images/books/cfd/wilcox_dc_-_turbulence_modeling_for_cfd.jpg,https://amzn.to/3vgTuZ8
book,cfd,Computational Methods For Fluid Dynamics,/assets/images/books/cfd/ferziger_j__peric_m_-_computational_methods_for_fluid_dynamics.jpg,https://amzn.to/3ukB3ld
book,cfd,Fundamentals Of Computational Fluid Dynamics,/assets/images/books/cfd/lomax_pulliam_-_fundamentals_of_computational_fluid_dynamics.jpg,https://amzn.to/3ui4lR9
book,cfd,Numerical Computation Of Internal And External Flows Volume 1,/assets/images/books/cfd/hirsch_charles_-_numerical_computation_of_internal_and_external_flows_vol01.jpg,https://amzn.to/3oVma7F
book,cfd,Principles Of Computational Fluid Dynamics,/assets/images/books/cfd/wesseling_pieter_-_principles_of_computational_fluid_dynamics.jpg,https://amzn.to/3oQ6wdy
book,cfd,Numerical Computation Of Internal And External Flows The Fundamentals Of Computational Fluid Dynamics,/assets/images/books/cfd/hirsch_charles_-_numerical_computation_of_internal_and_external_flows_the_fundamentals_of_computational_fluid_dynamics.jpg,https://amzn.to/3oPmtAR
book,cfd,Computational Techniques For Fluid Dynamics Volume 1,/assets/images/books/cfd/fletcher-caj_-_computational_techniques_for_fluid_dynamics_vol01.jpg,https://amzn.to/3oLfdGg
book,cfd,Computational Fluid Dynamics The Basic With Applications,/assets/images/books/cfd/anderson_john_d_-_computational_fluid_dynamics_the_basic_with_applications.jpg,https://amzn.to/3hWwevF
book,cfd,Multi-Grid Methods And Applications,/assets/images/books/cfd/hackbusch_wolfgang_-_multi-grid_methods_and_applications.jpg,https://amzn.to/3hMTGeS
book,cfd,Applied Computational Aerodynamics,/assets/images/books/cfd/mason_-_applied_computational_aerodynamics.jpg,https://amzn.to/3fNCIKA
book,cfd,Fundamental Algorithms In Computational Fluid Dynamics,/assets/images/books/cfd/pulliam_thomas_h_-_fundamental_algorithms_in_computational_fluid_dynamics.jpg,https://amzn.to/3flGThX
book,cfd,Numerical Computation Of Internal And External Flows Volume 2,/assets/images/books/cfd/hirsch_charles_-_numerical_computation_of_internal_and_external_flows_vol02.jpg,https://amzn.to/3fKrhDx
book,cfd,Low-Speed Aerodynamics,/assets/images/books/cfd/katz_joseph__plotkin_allen_-_low-speed_aerodynamics.jpg,https://amzn.to/3fIiJwR
book,cfd,A Mathematical Introduction To Fluid Mechanics,/assets/images/books/cfd/chorin_alexandre_-_a_mathematical_introduction_to_fluid_mechanics.jpg,https://amzn.to/3bTgMwC
book,cfd,Computational Fluid Dynamics Voli,/assets/images/books/cfd/hoffmann_-_computational_fluid_dynamics_voli.jpg,https://amzn.to/3bQsVSS
book,cfd,An Introduction To Computational Fluid Dynamics,/assets/images/books/cfd/versteeg_hk__malalasekera_w_-_an_introduction_to_computational_fluid_dynamics.jpg,https://amzn.to/3bNOmUL
book,cfd,An Introduction To Multigrid Methods,/assets/images/books/cfd/wesseling_pieter_-_an_introduction_to_multigrid_methods.jpg,https://amzn.to/34jM6At
book,cfd,Computational Fluid Mechanics And Heat Transfer,/assets/images/books/cfd/tannehill_anderson-pletcher_-_computational_fluid_mechanics_and_heat_transfer.jpg,https://amzn.to/2Ss7JMk
book,cfd,Computational Techniques For Fluid Dynamics Volume 2,/assets/images/books/cfd/fletcher-caj_-_computational_techniques_for_fluid_dynamics_vol02.jpg,https://amzn.to/2Sm7VfY
book,aerodynamics,Aerodynamics Of Wind Turbines A Physical Basis For Analysis And Design 1st-Edition,/assets/images/books/aerodynamics/schmitz_sven_-_aerodynamics_of_wind_turbines_a_physical_basis_for_analysis_and_design_1st-edition.jpg,https://amzn.to/3vnzmEC
book,aerodynamics,Fundamentals Of Aerodynamics 6th-Edition,/assets/images/books/aerodynamics/anderson_jd_-_fundamentals_of_aerodynamics_6th-edition.jpg,https://amzn.to/3uiwZSs
book,aerodynamics,Hypersonics And High Temperature Gas Dynamics 3rd-Edition,/assets/images/books/aerodynamics/anderson_jd_-_hypersonics_and_high_temperature_gas_dynamics_3rd-edition.jpg,https://amzn.to/3oOPjBj
book,aerodynamics,Aerodynamics Of Race Cars,/assets/images/books/aerodynamics/katz_joseph_-_aerodynamics_of_race_cars.jpg,https://amzn.to/3oNaJip
book,aerodynamics,Aerodynamik Des Automobils Stroemungsmechanik Waermetechnik Fahrdynamik Komfort 6th-Edition,/assets/images/books/aerodynamics/schuetz_thomas_-_hucho_-_aerodynamik_des_automobils_stroemungsmechanik_waermetechnik_fahrdynamik_komfort_6th-edition.jpg,https://amzn.to/3fjWAWC
book,aerodynamics,Boundary Layer Theory,/assets/images/books/aerodynamics/schlichting_-_boundary_layer_theory.jpg,https://amzn.to/3fid1D2
book,aerodynamics,Introductory Fluid Mechanics,/assets/images/books/aerodynamics/katz_joseph_-_introductory_fluid_mechanics.jpg,https://amzn.to/3fgydt4
book,aerodynamics,Theory Of Wing Sections,/assets/images/books/aerodynamics/abbott_-_theory_of_wing_sections.jpg,https://amzn.to/3fE5GN2
book,aerodynamics,Fluid-Dynamic Drag,/assets/images/books/aerodynamics/hoerner_sf_-_fluid-dynamic_drag_1965.jpg,https://amzn.to/34gl6Sn
book,aerodynamics,Modern Compressible Flow 4th-Edition,/assets/images/books/aerodynamics/anderson_jd_-_modern_compressible_flow_4th-edition.jpg,https://amzn.to/2SuOPEg
book,aerodynamics,Aerodynamics Of Wind Turbines,/assets/images/books/aerodynamics/hansen_martin_ol_aerodynamics_of_wind_turbines.jpg,https://amzn.to/2SttTxr
book,aerodynamics,Aerodynamics Of The Airplane,/assets/images/books/aerodynamics/schlichting_-_aerodynamics_of_the_airplane.jpg,https://amzn.to/2Spz6Xp
book,aerodynamics,Fluid Dynamic Lift,/assets/images/books/aerodynamics/hoerner_sf_-_fluid_dynamic_lift_1985.jpg,https://amzn.to/2QUboCa
